YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1111051500,2025,1,청운효자동,종로구,3,9.038362053765198
202501,1111053000,2025,1,사직동,종로구,2,9.591672172605834
202501,1111054000,2025,1,삼청동,종로구,2,9.78067691531708
202501,1111055000,2025,1,부암동,종로구,3,8.505492536061709
202501,1111056000,2025,1,평창동,종로구,4,8.337608384031661
202501,1111057000,2025,1,무악동,종로구,3,9.174723534068754
202501,1111058000,2025,1,교남동,종로구,3,8.738682180454148
202501,1111060000,2025,1,가회동,종로구,3,9.319985871508711
202501,1111061500,2025,1,"종로1,2,3,4가동",종로구,2,10.176729974856617
202501,1111063000,2025,1,"종로5,6가동",종로구,2,9.785870590687868
202501,1111064000,2025,1,이화동,종로구,3,9.037325545408336
202501,1111065000,2025,1,혜화동,종로구,3,9.140703193544386
202501,1111067000,2025,1,창신1동,종로구,2,9.951509689141163
202501,1111068000,2025,1,창신2동,종로구,3,8.888515786303474
202501,1111069000,2025,1,창신3동,종로구,4,7.595432844955035
202501,1111070000,2025,1,숭인1동,종로구,3,8.570751683940134
202501,1111071000,2025,1,숭인2동,종로구,3,9.17136699664073
202501,1114052000,2025,1,소공동,중구,2,9.966493569559615
202501,1114054000,2025,1,회현동,중구,2,10.038319679071352
202501,1114055000,2025,1,명동,중구,2,9.804551270440292
202501,1114057000,2025,1,필동,중구,3,9.2755079094609
202501,1114058000,2025,1,장충동,중구,3,9.118352051722615
202501,1114059000,2025,1,광희동,중구,2,9.80643557676619
202501,1114060500,2025,1,을지로동,중구,2,10.310831953387463
202501,1114061500,2025,1,신당동,중구,2,9.627309247948238
202501,1114062500,2025,1,다산동,중구,3,9.272888776496403
202501,1114063500,2025,1,약수동,중구,3,9.231785165978314
202501,1114064500,2025,1,청구동,중구,3,8.959934863198148
202501,1114065000,2025,1,신당5동,중구,3,9.369937808462408
202501,1114066500,2025,1,동화동,중구,3,9.225177068818232
202501,1114067000,2025,1,황학동,중구,2,9.52097855428916
