행정동_ID,행정동코드,행정동_명칭,자치구_명칭
11010720,1111051500,청운효자동,종로구
11010530,1111053000,사직동,종로구
11010540,1111054000,삼청동,종로구
11010550,1111055000,부암동,종로구
11010560,1111056000,평창동,종로구
11010570,1111057000,무악동,종로구
11010580,1111058000,교남동,종로구
11010600,1111060000,가회동,종로구
11010610,1111061500,"종로1,2,3,4가동",종로구
11010630,1111063000,"종로5,6가동",종로구
11010640,1111064000,이화동,종로구
11010730,1111065000,혜화동,종로구
11010670,1111067000,창신1동,종로구
11010680,1111068000,창신2동,종로구
11010690,1111069000,창신3동,종로구
11010700,1111070000,숭인1동,종로구
11010710,1111071000,숭인2동,종로구
11020520,1114052000,소공동,중구
11020540,1114054000,회현동,중구
11020550,1114055000,명동,중구
11020570,1114057000,필동,중구
11020580,1114058000,장충동,중구
11020590,1114059000,광희동,중구
11020600,1114060500,을지로동,중구
11020690,1114061500,신당동,중구
11020700,1114062500,다산동,중구
11020710,1114063500,약수동,중구
11020720,1114064500,청구동,중구
11020650,1114065000,신당5동,중구
11020730,1114066500,동화동,중구
11020670,1114067000,황학동,중구
11020680,1114068000,중림동,중구
11030510,1117051000,후암동,용산구
11030520,1117052000,용산2가동,용산구
11030530,1117053000,남영동,용산구
11030710,1117055500,청파동,용산구
11030720,1117056000,원효로1동,용산구
11030570,1117057000,원효로2동,용산구
11030580,1117058000,효창동,용산구
11030590,1117059000,용문동,용산구
11030730,1117062500,한강로동,용산구
11030630,1117063000,이촌1동,용산구
11030640,1117064000,이촌2동,용산구
11030650,1117065000,이태원1동,용산구
11030660,1117066000,이태원2동,용산구
11030740,1117068500,한남동,용산구
11030690,1117069000,서빙고동,용산구
11030700,1117070000,보광동,용산구
11040520,1120052000,왕십리2동,성동구
11040710,1120053500,왕십리도선동,성동구
11040540,1120054000,마장동,성동구
11040550,1120055000,사근동,성동구
11040560,1120056000,행당1동,성동구
11040570,1120057000,행당2동,성동구
11040580,1120058000,응봉동,성동구
11040590,1120059000,금호1가동,성동구
11040720,1120061500,"금호2,3가동",성동구
11040620,1120062000,금호4가동,성동구
11040730,1120064500,옥수동,성동구
11040650,1120065000,성수1가1동,성동구
11040660,1120066000,성수1가2동,성동구
11040670,1120067000,성수2가1동,성동구
11040680,1120069000,성수2가3동,성동구
11040690,1120072000,송정동,성동구
11040700,1120079000,용답동,성동구
11050530,1121571000,화양동,광진구
11050540,1121573000,군자동,광진구
11050550,1121574000,중곡1동,광진구
11050560,1121575000,중곡2동,광진구
11050570,1121576000,중곡3동,광진구
11050580,1121577000,중곡4동,광진구
11050590,1121578000,능동,광진구
11050630,1121581000,광장동,광진구
11050640,1121582000,자양1동,광진구
11050650,1121583000,자양2동,광진구
11050660,1121584000,자양3동,광진구
11050670,1121584700,자양4동,광진구
11050600,1121585000,구의1동,광진구
11050610,1121586000,구의2동,광진구
11050620,1121587000,구의3동,광진구
11060810,1123053600,용신동,동대문구
11060820,1123054500,제기동,동대문구
11060830,1123056000,전농1동,동대문구
11060840,1123057000,전농2동,동대문구
11060910,1123060000,답십리1동,동대문구
11060860,1123061000,답십리2동,동대문구
11060870,1123065000,장안1동,동대문구
11060880,1123066000,장안2동,동대문구
11060800,1123070500,청량리동,동대문구
11060710,1123071000,회기동,동대문구
11060720,1123072000,휘경1동,동대문구
11060730,1123073000,휘경2동,동대문구
11060890,1123074000,이문1동,동대문구
11060900,1123075000,이문2동,동대문구
11070520,1126052000,면목2동,중랑구
11070540,1126054000,면목4동,중랑구
11070550,1126055000,면목5동,중랑구
11070710,1126056500,면목본동,중랑구
11070570,1126057000,면목7동,중랑구
11070720,1126057500,"면목3,8동",중랑구
11070590,1126058000,상봉1동,중랑구
11070600,1126059000,상봉2동,중랑구
11070610,1126060000,중화1동,중랑구
11070620,1126061000,중화2동,중랑구
11070640,1126062000,묵1동,중랑구
11070650,1126063000,묵2동,중랑구
11070730,1126065500,망우본동,중랑구
11070680,1126066000,망우3동,중랑구
11070690,1126068000,신내1동,중랑구
11070700,1126069000,신내2동,중랑구
11080810,1129052500,성북동,성북구
11080820,1129055500,삼선동,성북구
11080830,1129057500,동선동,성북구
11080580,1129058000,돈암1동,성북구
11080590,1129059000,돈암2동,성북구
11080600,1129060000,안암동,성북구
11080610,1129061000,보문동,성북구
11080620,1129062000,정릉1동,성북구
11080630,1129063000,정릉2동,성북구
11080640,1129064000,정릉3동,성북구
11080650,1129065000,정릉4동,성북구
11080660,1129066000,길음1동,성북구
11080680,1129068500,길음2동,성북구
11080840,1129070500,종암동,성북구
11080710,1129071500,월곡1동,성북구
11080720,1129072500,월곡2동,성북구
11080760,1129076000,장위1동,성북구
11080770,1129077000,장위2동,성북구
11080780,1129078000,장위3동,성북구
11080850,1129081000,석관동,성북구
11090690,1130553400,삼양동,강북구
11090700,1130553500,미아동,강북구
11090710,1130554500,송중동,강북구
11090720,1130555500,송천동,강북구
11090730,1130557500,삼각산동,강북구
11090600,1130559500,번1동,강북구
11090610,1130560300,번2동,강북구
11090620,1130560800,번3동,강북구
11090630,1130561500,수유1동,강북구
11090640,1130562500,수유2동,강북구
