YYYYMM,행정동_ID,승객_수
202603,11010530,2743110
202603,11010540,150749
202603,11010550,341457
202603,11010560,283669
202603,11010570,64594
202603,11010580,324305
202603,11010600,71476
202603,11010610,5838778
202603,11010630,2209777
202603,11010640,1702370
202603,11010670,335233
202603,11010680,5291
202603,11010690,161157
202603,11010700,213653
202603,11010710,856504
202603,11010720,255505
202603,11010730,653168
202603,11020520,2610717
202603,11020540,6398830
202603,11020550,3603137
202603,11020570,1236425
202603,11020580,538299
202603,11020590,1699165
202603,11020600,1979731
202603,11020650,195521
202603,11020670,132611
202603,11020680,145172
202603,11020690,904646
202603,11020700,120719
202603,11020710,709623
202603,11020720,79798
202603,11020730,266077
202603,11030510,199383
202603,11030520,689762
202603,11030530,1376256
202603,11030570,180665
202603,11030580,468867
202603,11030590,93780
202603,11030630,205375
202603,11030640,81392
202603,11030650,612464
202603,11030660,133874
202603,11030690,292610
202603,11030700,105312
202603,11030710,265753
202603,11030720,288850
202603,11030730,3382773
202603,11030740,1188669
202603,11040520,586996
202603,11040540,381351
202603,11040550,759405
202603,11040560,1476156
202603,11040570,420674
202603,11040580,164305
202603,11040590,323237
202603,11040620,497219
202603,11040650,405109
202603,11040660,901667
202603,11040670,198933
202603,11040680,1918564
202603,11040690,94272
202603,11040700,1432258
202603,11040710,254732
202603,11040720,160296
202603,11040730,533934
202603,11050530,2169295
202603,11050540,334304
202603,11050550,152392
202603,11050560,185081
202603,11050570,499043
202603,11050580,112176
202603,11050590,1694448
202603,11050600,1130859
202603,11050610,741536
202603,11050620,1053780
202603,11050630,549126
202603,11050640,185023
202603,11050650,233972
202603,11050660,207514
202603,11050670,548381
202603,11060710,285850
202603,11060720,1055972
202603,11060730,396444
202603,11060800,433388
202603,11060810,2329968
202603,11060820,1026308
202603,11060830,1856875
202603,11060840,298834
202603,11060860,341689
202603,11060870,635214
202603,11060880,478673
202603,11060890,636268
202603,11060900,304400
202603,11060910,244677
202603,11070520,214173
202603,11070540,338977
202603,11070550,149145
202603,11070570,206132
202603,11070590,207870
202603,11070600,1257876
202603,11070610,111046
202603,11070620,810604
202603,11070640,239101
202603,11070650,430005
202603,11070680,147334
202603,11070690,753873
202603,11070700,310474
202603,11070710,906202
202603,11070720,864193
202603,11070730,644842
202603,11080580,450616
202603,11080590,172495
202603,11080600,823522
202603,11080610,543938
202603,11080620,443065
202603,11080630,334050
202603,11080640,348370
202603,11080650,688837
202603,11080660,1224754
202603,11080680,327900
202603,11080710,345600
202603,11080720,806474
202603,11080760,264558
202603,11080770,572721
202603,11080780,213155
202603,11080810,468157
202603,11080820,2117922
202603,11080830,595658
202603,11080840,621081
202603,11080850,964150
202603,11090600,1749198
202603,11090610,266733
202603,11090620,219387
202603,11090630,514044
202603,11090640,365592
202603,11090650,652059
202603,11090690,544740
202603,11090700,857386
202603,11090710,1004645
202603,11090720,1273507
202603,11090730,253526
202603,11090740,661554
202603,11090750,282265
202603,11100510,254396
202603,11100520,291667
202603,11100530,246722
202603,11100540,198562
202603,11100550,505624
202603,11100560,142355
202603,11100570,257383
202603,11100590,1387823
202603,11100600,226727
202603,11100610,167461
202603,11100620,350318
202603,11100630,1071904
202603,11100640,331467
202603,11100650,716370
202603,11110510,394078
202603,11110520,373803
202603,11110530,402135
202603,11110560,802546
202603,11110580,334856
202603,11110590,755830
202603,11110600,273699
202603,11110610,200025
202603,11110640,191831
202603,11110650,622853
202603,11110660,1692820
202603,11110690,778439
202603,11110720,492205
202603,11110730,115282
202603,11110740,217292
202603,11110760,377537
202603,11110770,393190
202603,11110780,760323
202603,11110790,1197527
202603,11120510,1005342
202603,11120520,584249
202603,11120550,1347955
202603,11120560,561083
202603,11120570,292735
202603,11120580,1296833
202603,11120590,530913
202603,11120600,202343
202603,11120650,838860
202603,11120660,593510
202603,11120670,553653
202603,11120680,306426
202603,11120710,1424558
202603,11120720,339195
202603,11120730,380984
202603,11120740,473146
202603,11130520,608311
202603,11130620,1282037
202603,11130640,316393
202603,11130650,181385
202603,11130660,232577
202603,11130680,722197
202603,11130690,426978
202603,11130700,440345
202603,11130710,182401
202603,11130720,332630
202603,11130730,1500313
202603,11130740,223910
202603,11130750,2858551
202603,11130760,961552
202603,11140590,609477
202603,11140600,1509242
202603,11140610,128686
202603,11140630,61022
202603,11140660,6835887
202603,11140680,214684
202603,11140690,221947
202603,11140700,152172
202603,11140710,253678
202603,11140720,249174
202603,11140730,958504
202603,11140740,1801902
202603,11140750,249068
202603,11140760,866691
202603,11140770,1676692
202603,11140780,945589
202603,11150510,1825188
202603,11150520,906716
202603,11150530,677000
202603,11150540,282526
202603,11150570,129371
202603,11150580,214940
202603,11150590,106880
202603,11150600,177433
202603,11150610,125939
202603,11150620,158213
202603,11150630,176741
202603,11150640,190141
202603,11150650,102293
202603,11150660,847552
202603,11150690,172541
202603,11150700,384282
202603,11150710,466487
202603,11150720,902245
202603,11160510,415574
202603,11160520,483961
202603,11160530,238140
202603,11160540,1054740
202603,11160550,277073
202603,11160570,149749
202603,11160580,133865
202603,11160590,161841
202603,11160610,458603
202603,11160630,251222
202603,11160640,1763029
