YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
201912,11110515,청운효자동,342,1667,650,103,107,129,70,243371110
201912,11110530,사직동,98,322,503,443,671,90,76,313674590
201912,11110540,삼청동,11,13,22,6,3,16,114,392575974
201912,11110550,부암동,183,774,710,205,51,134,83,226338355
201912,11110560,평창동,297,821,1328,409,586,645,125,428445295
201912,11110570,무악동,45,298,1148,530,32,0,82,446350543
201912,11110580,교남동,247,2184,1245,221,21,1,49,194204393
201912,11110600,가회동,130,719,81,21,8,44,66,245145969
201912,11110615,종로1·2·3·4가동,11,450,370,114,49,12,51,220777247
201912,11110630,종로5·6가동,14,312,1,2,3,1,42,132936677
201912,11110640,이화동,230,1535,253,17,4,30,53,145141512
201912,11110650,혜화동,341,2167,1073,133,54,35,58,165269307
201912,11110670,창신1동,27,714,278,0,0,0,48,161379277
201912,11110680,창신2동,225,1331,141,24,8,2,49,121211234
201912,11110690,창신3동,27,761,763,306,0,0,64,243402939
201912,11110700,숭인1동,40,356,329,185,0,0,61,235295402
201912,11110710,숭인2동,193,2144,487,46,0,0,51,143987316
201912,11140520,소공동,4,172,325,56,0,0,71,457047799
201912,11140540,회현동,25,614,139,233,277,183,83,315518214
201912,11140550,명동,6,16,14,2,116,120,95,416972645
201912,11140570,필동,37,514,115,71,9,7,64,231203921
201912,11140580,장충동,165,1774,111,26,24,41,45,158255338
201912,11140590,광희동,17,452,331,174,107,1,51,180442167
201912,11140605,을지로동,4,8,231,0,0,0,68,213437246
201912,11140615,신당동,52,897,188,152,104,29,47,167818078
201912,11140625,다산동,400,2585,500,135,59,108,65,183059237
201912,11140635,약수동,131,1582,1621,977,79,1,68,289046874
201912,11140645,청구동,84,1449,1112,659,2,0,64,294228809
201912,11140650,신당5동,59,750,486,146,0,0,60,274164868
201912,11140665,동화동,62,374,1582,506,225,1,82,410344824
201912,11140670,황학동,51,1200,1050,387,59,4,53,225923415
201912,11140680,중림동,86,1012,693,267,30,1,60,256153393
201912,11170510,후암동,404,2263,1025,140,104,93,63,251501889
201912,11170520,용산2가동,305,1537,307,12,5,1,50,188915261
201912,11170530,남영동,82,503,183,134,128,39,62,325915063
201912,11170555,청파동,467,2572,655,114,12,3,55,206142632
201912,11170560,원효로1동,119,1301,1847,841,194,15,61,351554472
201912,11170570,원효로2동,116,1460,1297,524,86,145,72,369628825
201912,11170580,효창동,175,1180,881,232,53,33,64,258179644
201912,11170590,용문동,176,1694,923,454,3,0,56,262622762
201912,11170625,한강로동,93,796,885,1005,1303,362,69,567531518
201912,11170630,이촌1동,131,1963,1860,3182,1056,1226,120,1077394523
201912,11170640,이촌2동,97,1819,1106,282,4,1,63,436884557
201912,11170650,이태원1동,91,281,143,287,270,296,98,554317911
201912,11170660,이태원2동,211,880,537,131,193,97,82,365818859
201912,11170685,한남동,511,2366,1409,475,397,1273,99,901751841
201912,11170690,서빙고동,182,581,695,109,625,694,80,745948349
201912,11170700,보광동,167,855,605,28,14,6,52,568741250
201912,11200520,왕십리2동,73,1580,1668,562,6,0,68,333110823
201912,11200535,왕십리도선동,104,1622,3642,963,180,0,72,479680275
201912,11200540,마장동,120,2621,2089,173,243,46,58,241419577
201912,11200550,사근동,112,1247,856,151,28,0,46,139242984
201912,11200560,행당1동,140,1118,1105,464,0,0,58,248832965
201912,11200570,행당2동,97,2397,2531,1444,4,1,79,451248059
201912,11200580,응봉동,236,2348,1524,883,0,0,55,172602163
201912,11200590,금호1가동,184,1625,1121,638,0,2,53,180067652
201912,11200615,금호2·3가동,262,2871,2065,716,2,0,59,244065289
201912,11200620,금호4가동,116,1359,1694,554,0,0,64,373217118
201912,11200645,옥수동,133,2401,3708,1401,647,198,93,611686138
201912,11200650,성수1가1동,121,1536,2185,10,208,4,60,467779051
201912,11200660,성수1가2동,76,1382,1373,45,0,0,56,331027896
201912,11200670,성수2가1동,114,1557,1150,202,157,6,58,371108065
201912,11200690,성수2가3동,78,783,904,801,0,1,58,291895888
201912,11200720,송정동,67,772,496,92,0,0,50,190377083
201912,11200790,용답동,55,443,283,7,0,0,57,193035015
201912,11215710,화양동,198,2900,339,33,0,0,34,132779174
201912,11215730,군자동,221,1826,692,152,66,6,53,178474581
201912,11215740,중곡1동,235,1628,478,28,20,0,52,171882565
201912,11215750,중곡2동,373,2682,665,26,3,1,51,172760642
201912,11215760,중곡3동,234,1948,385,17,0,0,49,161502511
201912,11215770,중곡4동,601,3947,1331,100,13,0,53,165867117
201912,11215780,능동,164,1310,237,16,5,1,46,183316606
201912,11215810,광장동,195,2376,5811,581,652,618,93,506935544
201912,11215820,자양1동,355,2874,885,87,7,7,50,190481420
201912,11215830,자양2동,409,3161,1986,499,290,50,55,227462355
201912,11215840,자양3동,162,2282,3781,969,733,104,67,364529590
201912,11215847,자양4동,144,1523,1282,38,59,0,48,209557237
201912,11215850,구의1동,405,2902,674,62,2,3,49,162628430
201912,11215860,구의2동,543,3412,1574,136,38,9,59,185479350
201912,11215870,구의3동,315,2904,4306,356,503,296,61,234312721
201912,11230536,용신동,227,3288,1730,452,38,16,57,198281968
201912,11230545,제기동,268,2519,1797,538,8,14,56,159006803
201912,11230560,전농1동,217,2530,1786,665,1,3,56,229549463
201912,11230570,전농2동,94,1692,1766,1259,0,1,71,290531164
201912,11230600,답십리1동,91,2692,2793,608,118,0,68,358508751
201912,11230610,답십리2동,116,2638,2976,853,2,0,70,260012142
201912,11230650,장안1동,349,4571,3972,1083,150,1,59,204060325
201912,11230660,장안2동,267,3638,3717,517,57,2,59,215602126
201912,11230705,청량리동,183,1173,1116,1123,302,90,64,178345749
201912,11230710,회기동,83,1205,849,42,1,0,53,155253764
201912,11230720,휘경1동,93,1115,775,290,0,0,50,150308562
201912,11230730,휘경2동,211,2528,2273,809,1,0,59,184309353
