YYYYMM,행정동코드,행정동이름,AREA_M2,LAT,LON,전체승객수,당월_매출_금액,당월_매출_건수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
202408,1111051500,청운효자동,2438307,126.97042,37.58466,252717,25829550195.0,1218354.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202409,1111051500,청운효자동,2438307,126.97042,37.58466,244634,25108793958.0,1184903.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202410,1111051500,청운효자동,2438307,126.97042,37.58466,265686,26338911664.0,1216893.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202411,1111051500,청운효자동,2438307,126.97042,37.58466,252227,27569029370.0,1248883.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202412,1111051500,청운효자동,2438307,126.97042,37.58466,226601,28799147077.0,1280874.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202501,1111051500,청운효자동,2438307,126.97042,37.58466,191133,26875191077.0,1194087.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202502,1111051500,청운효자동,2438307,126.97042,37.58466,186315,24951235078.0,1107300.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202503,1111051500,청운효자동,2438307,126.97042,37.58466,223013,23027279079.0,1020514.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202504,1111051500,청운효자동,2438307,126.97042,37.58466,251643,23718357480.0,1075243.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202505,1111051500,청운효자동,2438307,126.97042,37.58466,289689,24409435881.0,1129973.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202506,1111051500,청운효자동,2438307,126.97042,37.58466,290647,25100514283.0,1184703.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202507,1111051500,청운효자동,2438307,126.97042,37.58466,252192,24607144839.0,1144513.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
202508,1111051500,청운효자동,2438307,126.97042,37.58466,236606,24113775395.0,1104323.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0
