기준_년분기_코드,YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
20242.0,202406,1111051500,청운효자동,323,1533,581,83,91,117,69,276146690
20242.0,202406,1111053000,사직동,89,309,158,54,81,14,73,371237211
20242.0,202406,1111054000,삼청동,9,12,19,5,2,14,111,401044841
20242.0,202406,1111055000,부암동,189,712,662,162,46,130,82,259634651
20242.0,202406,1111056000,평창동,294,527,915,314,472,538,124,480839259
20242.0,202406,1111057000,무악동,47,111,256,108,12,0,82,660258193
20242.0,202406,1111058000,교남동,231,1202,194,24,2,1,50,235058041
20242.0,202406,1111060000,가회동,126,683,78,20,8,41,67,284759882
20242.0,202406,1111061500,종로1?2?3?4가동,9,62,8,2,10,0,49,278382323
20242.0,202406,1111063000,종로5?6가동,10,56,0,0,3,0,42,127248788
20242.0,202406,1111064000,이화동,212,1201,225,15,1,1,47,133464799
20242.0,202406,1111065000,혜화동,308,1681,533,94,43,23,57,189567695
20242.0,202406,1111067000,창신1동,24,147,50,0,0,0,48,210739429
20242.0,202406,1111068000,창신2동,214,1231,87,12,4,1,49,133709885
20242.0,202406,1111069000,창신3동,26,129,91,42,0,0,65,320701236
20242.0,202406,1111070000,숭인1동,44,228,89,34,0,0,58,271960677
20242.0,202406,1111071000,숭인2동,181,1175,239,16,0,0,52,167074058
20242.0,202406,1114052000,소공동,4,32,12,0,0,0,52,489545455
20242.0,202406,1114054000,회현동,19,86,45,14,18,20,85,389399554
20242.0,202406,1114055000,명동,7,34,12,1,5,7,72,355854515
20242.0,202406,1114057000,필동,31,175,54,26,5,5,63,248890227
20242.0,202406,1114058000,장충동,160,1262,78,22,12,28,45,186105513
20242.0,202406,1114059000,광희동,10,61,18,6,0,0,51,193927273
20242.0,202406,1114060500,을지로동,1,0,11,0,0,0,85,457909091
20242.0,202406,1114061500,신당동,36,194,71,3,0,0,49,202648861
20242.0,202406,1114062500,다산동,374,2274,423,116,44,99,64,207881680
20242.0,202406,1114063500,약수동,125,617,398,195,9,0,68,382587628
20242.0,202406,1114064500,청구동,74,346,236,108,1,0,68,433917253
20242.0,202406,1114065000,신당5동,64,398,229,40,0,0,59,382417416
20242.0,202406,1114066500,동화동,59,169,297,115,56,0,83,562530704
20242.0,202406,1114067000,황학동,29,186,79,31,5,0,60,320745114
20242.0,202406,1114068000,중림동,88,427,216,63,2,1,60,368461445
20242.0,202406,1117051000,후암동,370,1811,818,104,84,60,63,292755194
20242.0,202406,1117052000,용산2가동,281,1403,175,10,4,1,49,204859436
20242.0,202406,1117053000,남영동,78,367,154,31,18,2,61,398414266
20242.0,202406,1117055500,청파동,457,2443,584,92,11,3,54,244172572
20242.0,202406,1117056000,원효로1동,125,778,345,99,30,0,55,423991122
20242.0,202406,1117057000,원효로2동,119,657,310,102,34,60,68,462855465
20242.0,202406,1117058000,효창동,187,995,574,119,39,22,63,342185373
20242.0,202406,1117059000,용문동,176,1130,299,90,3,0,54,323872688
20242.0,202406,1117062500,한강로동,81,317,188,97,124,27,72,780899618
20242.0,202406,1117063000,이촌1동,133,201,295,555,204,320,120,1448413885
20242.0,202406,1117064000,이촌2동,80,531,260,31,2,0,61,541443092
20242.0,202406,1117065000,이태원1동,70,221,95,109,85,101,98,632786445
20242.0,202406,1117066000,이태원2동,169,589,320,83,132,77,81,436270648
20242.0,202406,1117068500,한남동,414,1046,592,255,266,918,112,1309674189
20242.0,202406,1117069000,서빙고동,158,463,283,69,162,171,82,931218213
20242.0,202406,1117070000,보광동,144,653,216,18,12,0,53,751925365
20242.0,202406,1120052000,왕십리2동,69,320,285,92,4,0,70,474130064
20242.0,202406,1120053500,왕십리도선동,108,455,555,124,24,0,70,658527615
20242.0,202406,1120054000,마장동,125,921,405,55,50,12,57,313147656
20242.0,202406,1120055000,사근동,102,689,181,19,1,0,44,170903029
20242.0,202406,1120056000,행당1동,84,324,294,99,0,0,68,483661187
20242.0,202406,1120057000,행당2동,97,431,426,269,3,0,79,645518275
20242.0,202406,1120058000,응봉동,215,1258,260,169,0,0,56,269799393
20242.0,202406,1120059000,금호1가동,193,1037,332,125,0,0,54,308385556
20242.0,202406,1120061500,금호2?3가동,227,1192,505,117,0,0,60,365230604
20242.0,202406,1120062000,금호4가동,82,324,376,129,11,0,77,803074557
20242.0,202406,1120064500,옥수동,126,383,544,246,138,65,93,884172349
20242.0,202406,1120065000,성수1가1동,122,686,442,8,18,12,61,736732428
20242.0,202406,1120066000,성수1가2동,68,474,251,18,0,0,57,465824238
20242.0,202406,1120067000,성수2가1동,110,858,290,41,25,1,59,579181643
20242.0,202406,1120069000,성수2가3동,78,473,189,116,0,0,57,394279969
20242.0,202406,1120072000,송정동,68,536,116,18,0,0,50,229184261
20242.0,202406,1120079000,용답동,54,286,91,7,0,0,56,255078831
20242.0,202406,1121571000,화양동,195,1629,174,18,1,0,34,148077507
20242.0,202406,1121573000,군자동,233,1578,444,55,28,3,51,206472588
20242.0,202406,1121574000,중곡1동,249,1645,405,23,14,0,51,188044024
20242.0,202406,1121575000,중곡2동,387,2601,589,23,1,0,50,185506401
20242.0,202406,1121576000,중곡3동,243,1788,263,11,0,0,47,176263103
20242.0,202406,1121577000,중곡4동,623,3997,1109,59,11,0,52,170253171
20242.0,202406,1121578000,능동,170,1292,223,14,4,0,44,203223348
20242.0,202406,1121581000,광장동,193,648,898,128,211,260,93,701037200
20242.0,202406,1121582000,자양1동,368,2684,464,38,5,5,48,208444504
20242.0,202406,1121583000,자양2동,410,2571,668,118,70,33,54,266950759
20242.0,202406,1121584000,자양3동,171,867,722,147,44,11,65,503185054
20242.0,202406,1121584700,자양4동,141,1064,294,30,12,0,47,259534026
20242.0,202406,1121585000,구의1동,421,2897,560,43,2,0,48,182840088
20242.0,202406,1121586000,구의2동,569,3313,1464,130,35,8,59,218482807
20242.0,202406,1121587000,구의3동,319,1905,961,128,69,76,60,306329165
20242.0,202406,1123053600,용신동,212,1333,465,104,16,4,57,263764070
20242.0,202406,1123054500,제기동,276,1738,548,84,7,16,56,199334932
20242.0,202406,1123056000,전농1동,236,1565,449,118,1,2,53,298148257
20242.0,202406,1123057000,전농2동,95,499,280,199,0,0,70,385704055
20242.0,202406,1123060000,답십리1동,123,777,443,98,34,0,64,481259336
20242.0,202406,1123061000,답십리2동,128,649,512,130,2,0,69,367194404
20242.0,202406,1123065000,장안1동,366,3152,1217,255,23,0,58,242312008
20242.0,202406,1123066000,장안2동,278,2403,879,159,15,0,59,269839336
20242.0,202406,1123070500,청량리동,111,618,254,99,22,11,63,259040718
20242.0,202406,1123071000,회기동,79,545,191,29,1,0,54,195644398
20242.0,202406,1123072000,휘경1동,69,442,189,43,0,0,57,269364510
20242.0,202406,1123073000,휘경2동,210,1232,608,176,1,0,59,240740232
20242.0,202406,1123074000,이문1동,142,816,256,106,21,6,52,241674717
20242.0,202406,1123075000,이문2동,83,469,291,150,6,0,69,392500480
