YYYYMM,행정동코드,생활인구합계
202408,11110515,10466681
202408,11110530,21399917
202408,11110540,4017890
202408,11110550,8780204
202408,11110560,10261956
202408,11110570,1124979
202408,11110580,7273208
202408,11110600,6170748
202408,11110615,46248946
202408,11110630,12929901
202408,11110640,14241267
202408,11110650,17292938
202408,11110670,5222523
202408,11110680,6619230
202408,11110690,2131502
202408,11110700,4674563
202408,11110710,12192374
202408,11140520,27602919
202408,11140540,23202874
202408,11140550,34852881
202408,11140570,12839448
202408,11140580,8642009
202408,11140590,18951379
202408,11140605,15304766
202408,11140615,11489431
202408,11140625,9905741
202408,11140635,10209951
202408,11140645,10827766
202408,11140650,11920671
202408,11140665,5270383
202408,11140670,9179353
202408,11140680,10868773
202408,11170510,10618837
202408,11170520,13082652
202408,11170530,12823745
202408,11170555,14265839
202408,11170560,13723168
202408,11170570,9978069
202408,11170580,6420438
202408,11170590,7848147
202408,11170625,39619852
202408,11170630,17135435
202408,11170640,4205637
202408,11170650,12496882
202408,11170660,8715676
202408,11170685,19911234
202408,11170690,11133861
202408,11170700,4702573
202408,11200520,13695357
202408,11200535,16499197
202408,11200540,14679623
202408,11200550,14070401
202408,11200560,9604696
202408,11200570,17940024
202408,11200580,8086530
202408,11200590,10392985
202408,11200615,13896027
202408,11200620,9565481
202408,11200645,17696299
202408,11200650,15837252
202408,11200660,13603451
202408,11200670,15003709
202408,11200690,20879756
202408,11200720,5204786
202408,11200790,16817554
202408,11215710,25251639
202408,11215730,18564666
202408,11215740,11535503
202408,11215750,13505873
202408,11215760,13843351
202408,11215770,13191842
202408,11215780,11472665
202408,11215810,24118221
202408,11215820,18043401
202408,11215830,18680171
202408,11215840,20801387
202408,11215847,21837284
202408,11215850,17106523
202408,11215860,16727491
202408,11215870,24429377
202408,11230536,32153358
202408,11230545,19909317
202408,11230560,31004281
202408,11230570,10435492
202408,11230600,15237389
202408,11230610,21656876
202408,11230650,25006693
202408,11230660,21901456
202408,11230705,14191265
202408,11230710,12341438
202408,11230720,11712563
202408,11230730,14734857
202408,11230740,14766514
202408,11230750,11041164
202408,11260520,17259087
202408,11260540,13010993
202408,11260550,13284300
202408,11260565,22936438
202408,11260570,13133796
202408,11260575,15528328
202408,11260580,16239244
202408,11260590,19586036
202408,11260600,9475085
202408,11260610,22013952
202408,11260620,19387561
202408,11260630,14187345
202408,11260655,26620690
202408,11260660,9500478
202408,11260680,23855404
202408,11260690,13635309
202408,11290525,14750668
202408,11290555,22088187
202408,11290575,14151265
202408,11290580,8381171
202408,11290590,8681112
202408,11290600,19423694
202408,11290610,9503412
202408,11290620,6676843
202408,11290630,15055489
202408,11290640,15268657
202408,11290650,11975949
202408,11290660,25300707
202408,11290685,16118340
202408,11290705,30384189
202408,11290715,14400837
202408,11290725,13133743
202408,11290760,13177319
202408,11290770,11063195
202408,11290780,6808312
202408,11290810,24635574
202408,11305534,14506661
202408,11305535,18220247
202408,11305545,18154767
202408,11305555,19529988
202408,11305575,17784980
202408,11305595,13958704
202408,11305603,6529135
202408,11305608,14627472
202408,11305615,18928604
202408,11305625,12031578
202408,11305635,22242533
202408,11305645,14901501
202408,11305660,20201016
202408,11320511,17618805
202408,11320512,17415315
202408,11320513,7923691
202408,11320514,17506776
202408,11320515,15239695
202408,11320521,16385456
202408,11320522,16065030
202408,11320660,13991582
202408,11320670,13124644
202408,11320680,11855454
202408,11320681,11377527
202408,11320690,21716608
202408,11320700,9259743
202408,11320710,16565183
202408,11350560,14668523
202408,11350570,18211386
202408,11350580,19874310
202408,11350595,29279174
