YYYYMM,행정동코드,행정동이름,AREA_M2,LAT,LON,전체승객수,당월_매출_금액,당월_매출_건수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1111051500,청운효자동,2438307.0,126.97042,37.58466,252717.0,25829550195.0,1218354.0,323.0,1533.0,581.0,83.0,91.0,117.0,69.0,276146690.0,3834303.6,2647.99,91.47,96.173,1354.15,10466681.0
202408,1111053000,사직동,1165780.0,126.97014,37.57411,2375818.0,102852221469.0,4456047.0,89.0,309.0,158.0,54.0,81.0,14.0,73.0,371237211.0,3834303.6,2647.99,91.47,96.173,1354.15,21399917.0
202408,1111054000,삼청동,1361445.0,126.98111,37.58801,138802.0,37672369993.0,1736273.0,9.0,12.0,19.0,5.0,2.0,14.0,111.0,401044841.0,3834303.6,2647.99,91.47,96.173,1354.15,4017890.0
202408,1111055000,부암동,2202073.0,126.96256,37.5967,232993.0,7447425736.0,278429.0,189.0,712.0,662.0,162.0,46.0,130.0,82.0,259634651.0,3834303.6,2647.99,91.47,96.173,1354.15,8780204.0
202408,1111056000,평창동,9017316.0,126.96927,37.61396,244605.0,8894029262.0,378484.0,294.0,527.0,915.0,314.0,472.0,538.0,124.0,480839259.0,3834303.6,2647.99,91.47,96.173,1354.15,10261956.0
202408,1111057000,무악동,467575.0,126.95899,37.57774,58584.0,7947820146.0,546223.0,47.0,111.0,256.0,108.0,12.0,0.0,82.0,660258193.0,3834303.6,2647.99,91.47,96.173,1354.15,1124979.0
202408,1111058000,교남동,345990.0,126.96416,37.57105,299606.0,9393896196.0,392596.0,231.0,1202.0,194.0,24.0,2.0,1.0,50.0,235058041.0,3834303.6,2647.99,91.47,96.173,1354.15,7273208.0
202408,1111060000,가회동,605383.0,126.98662,37.58268,75549.0,26157219205.0,1239198.0,126.0,683.0,78.0,20.0,8.0,41.0,67.0,284759882.0,3834303.6,2647.99,91.47,96.173,1354.15,6170748.0
202408,1111061500,종로1.2.3.4가동,2394166.0,126.98973,37.57508,5244129.0,567555997855.0,13571924.0,9.0,62.0,8.0,2.0,10.0,0.0,49.0,278382323.0,3834303.6,2647.99,91.47,96.173,1354.15,46248946.0
202408,1111063000,종로5.6가동,633463.0,127.00424,37.57302,1891149.0,105535488499.0,3251918.0,10.0,56.0,0.0,0.0,3.0,0.0,42.0,127248788.0,3834303.6,2647.99,91.47,96.173,1354.15,12929901.0
202408,1111064000,이화동,755902.0,127.00307,37.57969,1467302.0,36572831913.0,2742879.0,212.0,1201.0,225.0,15.0,1.0,1.0,47.0,133464799.0,3834303.6,2647.99,91.47,96.173,1354.15,14241267.0
202408,1111065000,혜화동,1164691.0,126.99769,37.58747,546970.0,54706109507.0,2879659.0,308.0,1681.0,533.0,94.0,43.0,23.0,57.0,189567695.0,3834303.6,2647.99,91.47,96.173,1354.15,17292938.0
202408,1111067000,창신제1동,313832.0,127.01402,37.57226,300340.0,68223889582.0,2458257.0,24.0,147.0,50.0,0.0,0.0,0.0,48.0,210739429.0,3834303.6,2647.99,91.47,96.173,1354.15,5222523.0
202408,1111068000,창신제2동,249894.0,127.01025,37.57575,5385.0,13093961864.0,577605.0,214.0,1231.0,87.0,12.0,4.0,1.0,49.0,133709885.0,3834303.6,2647.99,91.47,96.173,1354.15,6619230.0
202408,1111069000,창신제3동,220395.0,127.01321,37.57882,134685.0,535649314.0,30612.0,26.0,129.0,91.0,42.0,0.0,0.0,65.0,320701236.0,3834303.6,2647.99,91.47,96.173,1354.15,2131502.0
202408,1111070000,숭인제1동,237128.0,127.01686,37.57723,190254.0,3798121610.0,236016.0,44.0,228.0,89.0,34.0,0.0,0.0,58.0,271960677.0,3834303.6,2647.99,91.47,96.173,1354.15,4674563.0
202408,1111071000,숭인제2동,321465.0,127.02064,37.57431,697627.0,31119521141.0,1499606.0,181.0,1175.0,239.0,16.0,0.0,0.0,52.0,167074058.0,3834303.6,2647.99,91.47,96.173,1354.15,12192374.0
202408,1114052000,소공동,935656.0,126.97436,37.5643,2385801.0,158631014102.0,5942907.0,4.0,32.0,12.0,0.0,0.0,0.0,52.0,489545455.0,3834303.6,2647.99,91.47,96.173,1354.15,27602919.0
202408,1114054000,회현동,892974.0,126.97671,37.55697,4173208.0,235383928969.0,7401177.0,19.0,86.0,45.0,14.0,18.0,20.0,85.0,389399554.0,3834303.6,2647.99,91.47,96.173,1354.15,23202874.0
202408,1114055000,명동,1006850.0,126.98436,37.56373,3097442.0,241473268532.0,11197209.0,7.0,34.0,12.0,1.0,5.0,7.0,72.0,355854515.0,3834303.6,2647.99,91.47,96.173,1354.15,34852881.0
202408,1114057000,필동,1478522.0,126.99385,37.5568,1008685.0,36904747934.0,2308007.0,31.0,175.0,54.0,26.0,5.0,5.0,63.0,248890227.0,3834303.6,2647.99,91.47,96.173,1354.15,12839448.0
202408,1114058000,장충동,1003083.0,127.00228,37.55561,400132.0,21460099119.0,658648.0,160.0,1262.0,78.0,22.0,12.0,28.0,45.0,186105513.0,3834303.6,2647.99,91.47,96.173,1354.15,8642009.0
202408,1114059000,광희동,752739.0,127.00363,37.5652,1504039.0,168211914053.0,4981741.0,10.0,61.0,18.0,6.0,0.0,0.0,51.0,193927273.0,3834303.6,2647.99,91.47,96.173,1354.15,18951379.0
202408,1114060500,을지로동,599530.0,126.99649,37.56664,1715243.0,231779550340.0,7170763.0,1.0,0.0,11.0,0.0,0.0,0.0,85.0,457909091.0,3834303.6,2647.99,91.47,96.173,1354.15,15304766.0
202408,1114061500,신당동,541354.0,127.01377,37.56575,797595.0,70029391427.0,2428387.0,36.0,194.0,71.0,3.0,0.0,0.0,49.0,202648861.0,3834303.6,2647.99,91.47,96.173,1354.15,11489431.0
202408,1114062500,다산동,546686.0,127.00826,37.5547,115657.0,39172503268.0,1379757.0,374.0,2274.0,423.0,116.0,44.0,99.0,64.0,207881680.0,3834303.6,2647.99,91.47,96.173,1354.15,9905741.0
202408,1114063500,약수동,511938.0,127.01024,37.54984,649168.0,26017558524.0,1149966.0,125.0,617.0,398.0,195.0,9.0,0.0,68.0,382587628.0,3834303.6,2647.99,91.47,96.173,1354.15,10209951.0
202408,1114064500,청구동,330066.0,127.01499,37.55686,79623.0,9794316451.0,314095.0,74.0,346.0,236.0,108.0,1.0,0.0,68.0,433917253.0,3834303.6,2647.99,91.47,96.173,1354.15,10827766.0
202408,1114065000,신당제5동,315652.0,127.02202,37.56358,187770.0,28174983930.0,1171087.0,64.0,398.0,229.0,40.0,0.0,0.0,59.0,382417416.0,3834303.6,2647.99,91.47,96.173,1354.15,11920671.0
202408,1114066500,동화동,344934.0,127.01867,37.56059,256313.0,24802438652.0,1081261.0,59.0,169.0,297.0,115.0,56.0,0.0,83.0,562530704.0,3834303.6,2647.99,91.47,96.173,1354.15,5270383.0
202408,1114067000,황학동,314878.0,127.0208,37.56842,127889.0,55718047908.0,1908096.0,29.0,186.0,79.0,31.0,5.0,0.0,60.0,320745114.0,3834303.6,2647.99,91.47,96.173,1354.15,9179353.0
202408,1114068000,중림동,492309.0,126.96596,37.55732,158716.0,33380277894.0,1026479.0,88.0,427.0,216.0,63.0,2.0,1.0,60.0,368461445.0,3834303.6,2647.99,91.47,96.173,1354.15,10868773.0
202408,1117051000,후암동,865282.0,126.98059,37.54994,194416.0,21925421499.0,1325990.0,370.0,1811.0,818.0,104.0,84.0,60.0,63.0,292755194.0,3834303.6,2647.99,91.47,96.173,1354.15,10618837.0
202408,1117052000,용산2가동,2045385.0,126.98353,37.54024,569329.0,13723270484.0,897467.0,281.0,1403.0,175.0,10.0,4.0,1.0,49.0,204859436.0,3834303.6,2647.99,91.47,96.173,1354.15,13082652.0
202408,1117053000,남영동,751924.0,126.97351,37.54511,1158156.0,61775699795.0,2481721.0,78.0,367.0,154.0,31.0,18.0,2.0,61.0,398414266.0,3834303.6,2647.99,91.47,96.173,1354.15,12823745.0
202408,1117055500,청파동,854585.0,126.96717,37.54786,223562.0,39102717012.0,2502694.0,457.0,2443.0,584.0,92.0,11.0,3.0,54.0,244172572.0,3834303.6,2647.99,91.47,96.173,1354.15,14265839.0
