TIME,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,M2_lag1,KOSPI_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,FX_lag1
202004,2854169.7,1849.59,81.31,83.074,1225.23,,,,,
202005,2898342.4,1965.17,81.326,83.126,1228.67,2854169.7,1849.59,81.31,83.074,1225.23
202006,2919411.8,2134.7,81.755,83.439,1210.01,2898342.4,1965.17,81.326,83.126,1228.67
202007,2939115.7,2195.95,82.943,84.004,1198.9,2919411.8,2134.7,81.755,83.439,1210.01
202008,2957901.9,2349.87,84.189,84.906,1186.85,2939115.7,2195.95,82.943,84.004,1198.9
202009,2982103.5,2371.52,85.383,86.254,1178.8,2957901.9,2349.87,84.189,84.906,1186.85
202010,3013051.7,2357.82,86.178,87.419,1144.68,2982103.5,2371.52,85.383,86.254,1178.8
202011,3039765.8,2504.18,87.613,89.512,1116.76,3013051.7,2357.82,86.178,87.419,1144.68
202012,3052959.4,2755.77,88.701,90.851,1095.13,3039765.8,2504.18,87.613,89.512,1116.76
202101,3082103.7,3089.27,89.828,91.951,1097.49,3052959.4,2755.77,88.701,90.851,1095.13
202102,3112805.6,3092.41,90.856,92.806,1111.72,3082103.7,3089.27,89.828,91.951,1097.49
202103,3139751.8,3032.47,87.705,95.415,1131.02,3112805.6,3092.41,90.856,92.806,1111.72
202104,3176515.7,3165.08,88.352,95.947,1119.4,3139751.8,3032.47,87.705,95.415,1131.02
202105,3208328.8,3169.2,89.056,96.541,1123.28,3176515.7,3165.08,88.352,95.947,1119.4
202106,3219485.9,3259.14,89.954,97.409,1121.3,3208328.8,3169.2,89.056,96.541,1123.28
202107,3257056.3,3254.57,90.858,98.306,1143.98,3219485.9,3259.14,89.954,97.409,1121.3
202108,3293240.3,3182.5,91.942,99.24,1160.34,3257056.3,3254.57,90.858,98.306,1143.98
202109,3314910.6,3141.7,93.339,100.221,1169.54,3293240.3,3182.5,91.942,99.24,1160.34
202110,3350841.4,2989.87,94.364,100.866,1182.82,3314910.6,3141.7,93.339,100.221,1169.54
202111,3394545.9,2964.3,95.056,101.521,1182.91,3350841.4,2989.87,94.364,100.866,1182.82
202112,3411438.0,2988.49,95.407,101.873,1183.7,3394545.9,2964.3,95.056,101.521,1182.91
202201,3449516.3,2865.55,95.611,102.113,1194.01,3411438.0,2988.49,95.407,101.873,1183.7
202202,3487090.3,2724.02,95.799,102.251,1198.34,3449516.3,2865.55,95.611,102.113,1194.01
202203,3490107.7,2698.72,95.852,102.278,1221.03,3487090.3,2724.02,95.799,102.251,1198.34
202204,3501103.0,2703.24,95.974,102.446,1232.34,3490107.7,2698.72,95.852,102.278,1221.03
202205,3531043.0,2628.34,96.144,102.69,1269.88,3501103.0,2703.24,95.974,102.446,1232.34
202206,3551521.2,2474.95,96.302,102.851,1277.35,3531043.0,2628.34,96.144,102.69,1269.88
202207,3568802.1,2362.79,96.367,102.917,1307.4,3551521.2,2474.95,96.302,102.851,1277.35
202208,3600817.0,2479.57,96.299,102.836,1318.44,3568802.1,2362.79,96.367,102.917,1307.4
202209,3609736.9,2333.93,96.224,102.778,1391.59,3600817.0,2479.57,96.299,102.836,1318.44
202210,3632494.2,2230.27,95.787,102.302,1426.66,3609736.9,2333.93,96.224,102.778,1391.59
202211,3680544.2,2417.56,94.942,100.858,1364.1,3632494.2,2230.27,95.787,102.302,1426.66
202212,3682583.4,2361.28,94.195,99.018,1296.22,3680544.2,2417.56,94.942,100.858,1364.1
202301,3690158.6,2362.36,93.072,96.698,1247.25,3682583.4,2361.28,94.195,99.018,1296.22
202302,3695231.6,2450.34,92.443,95.28,1270.74,3690158.6,2362.36,93.072,96.698,1247.25
202303,3682032.2,2417.56,91.84,94.317,1305.73,3695231.6,2450.34,92.443,95.28,1270.74
202304,3668582.4,2523.29,91.338,93.635,1320.01,3682032.2,2417.56,91.84,94.317,1305.73
202305,3660125.0,2524.43,90.873,93.196,1328.21,3668582.4,2523.29,91.338,93.635,1320.01
202306,3677250.3,2598.91,90.711,93.099,1296.71,3660125.0,2524.43,90.873,93.196,1328.21
202307,3706857.3,2594.39,90.574,92.887,1286.3,3677250.3,2598.91,90.711,93.099,1296.71
202308,3705568.7,2562.05,90.541,92.893,1318.47,3706857.3,2594.39,90.574,92.887,1286.3
202309,3711225.4,2543.82,90.674,93.111,1329.47,3705568.7,2562.05,90.541,92.893,1318.47
202310,3725464.5,2392.14,90.775,93.437,1350.69,3711225.4,2543.82,90.674,93.111,1329.47
202311,3753300.1,2458.95,90.784,93.734,1310.39,3725464.5,2392.14,90.775,93.437,1350.69
202312,3746423.1,2553.64,90.712,93.953,1303.98,3753300.1,2458.95,90.784,93.734,1310.39
202401,3737309.3,2518.59,90.6,94.161,1323.57,3746423.1,2553.64,90.712,93.953,1303.98
202402,3762578.7,2630.42,90.562,94.296,1331.74,3737309.3,2518.59,90.6,94.161,1323.57
202403,3804693.0,2699.59,90.509,94.58,1330.69,3762578.7,2630.42,90.562,94.296,1331.74
202404,3808175.6,2674.25,90.525,94.637,1367.83,3804693.0,2699.59,90.509,94.58,1330.69
202405,3809788.1,2710.45,90.529,94.86,1365.39,3808175.6,2674.25,90.525,94.637,1367.83
202406,3811231.6,2748.16,90.612,95.144,1380.13,3809788.1,2710.45,90.529,94.86,1365.39
202407,3823839.5,2809.19,90.996,95.649,1383.38,3811231.6,2748.16,90.612,95.144,1380.13
202408,3834303.6,2647.99,91.47,96.173,1354.15,3823839.5,2809.19,90.996,95.649,1383.38
